,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
109,2015,4,11,KIA,1,33,0.188,0.28600000000000003,3.0,33.3,0.09,0.031,-,0.431,1.32,1.32,-0.18,1.34,0.02,0.2,-4.42
110,2015,4,11,SK,1,34,0.188,0.24,5.9,20.6,0.29,0.062,-,0.485,1.75,1.75,0.61,1.46,0.02,0.225,-3.76
111,2015,4,11,·Ôµ¥,1,35,0.10300000000000001,0.14300000000000002,17.1,22.9,0.75,0.035,-,0.395,1.22,1.17,0.23,1.76,0.19,0.213,-4.26
112,2015,4,12,·Ôµ¥,1,51,0.368,0.387,17.6,9.8,1.80,0.21100000000000002,19.00,1.1079999999999999,13.99,15.74,13.44,6.99,0.4,0.495,6.88
113,2015,4,12,SK,1,44,0.289,0.29,6.8,13.6,0.50,0.29,19.00,0.943,8.66,8.35,7.82,6.31,0.03,0.401,2.17
114,2015,4,12,KIA,1,40,0.278,0.207,5.0,10.0,0.50,0.361,9.00,0.9470000000000001,7.52,7.26,6.64,6.30,0.19,0.38799999999999996,1.5
115,2015,4,12,LG,1,32,0.222,0.23800000000000002,12.5,15.6,0.80,0.14800000000000002,27.00,0.693,2.89,3.25,3.21,-0.88,0.02,0.316,-0.9
116,2015,4,12,KT,1,38,0.19399999999999998,0.23800000000000002,10.5,23.7,0.44,0.129,31.00,0.629,3.72,3.72,3.05,5.55,0.19,0.294,-1.84
117,2015,4,12,µÎ»ê,1,37,0.29,0.33299999999999996,13.5,10.8,1.25,0.09699999999999999,-,0.7759999999999999,3.74,3.74,5.17,-0.43,0.03,0.359,0.42
118,2015,4,12,»ï¼º,1,38,0.25,0.26899999999999996,5.3,21.0,0.25,0.278,18.00,0.8170000000000001,5.58,5.58,4.61,8.79,0.01,0.33899999999999997,-0.27
119,2015,4,12,NC,1,39,0.25,0.292,7.7,25.6,0.30,0.222,18.00,0.78,5.47,5.47,4.72,4.81,0.02,0.33899999999999997,-0.29
120,2015,4,12,Hero,1,37,0.233,0.25,16.2,13.5,1.20,0.1,30.00,0.711,3.19,3.19,4.53,-3.94,0.04,0.34,-0.22
121,2015,4,12,ÇÑÈ­,1,35,0.156,0.111,8.6,31.4,0.27,0.282,10.67,0.667,3.38,3.38,2.44,1.81,0.01,0.282,-2.06
122,2015,4,14,µÎ»ê,1,53,0.5,0.5,11.3,11.3,1.00,0.5,8.80,1.558,22.99,22.99,20.64,2.34,0.05,0.634,13.83
123,2015,4,14,ÇÑÈ­,1,36,0.364,0.41700000000000004,2.8,19.4,0.14,0.363,16.50,1.127,8.35,9.39,9.04,11.65,0.02,0.48200000000000004,4.42
124,2015,4,14,·Ôµ¥,1,35,0.25,0.278,17.1,22.9,0.75,0.214,14.00,0.8640000000000001,5.44,6.38,5.85,2.77,0.37,0.389,1.35
125,2015,4,14,»ï¼º,1,40,0.306,0.33299999999999996,7.5,12.5,0.60,0.111,36.00,0.7759999999999999,5.21,5.21,4.91,1.31,0.03,0.341,-0.23
126,2015,4,14,NC,1,41,0.25,0.391,9.8,31.7,0.31,0.083,-,0.674,4.55,4.38,4.15,3.47,0.36,0.317,-1.12
127,2015,4,14,KT,1,38,0.14300000000000002,0.16699999999999998,21.0,10.5,2.00,0.036000000000000004,-,0.53,2.58,2.58,2.79,1.06,0.37,0.28600000000000003,-2.09
128,2015,4,15,KIA,1,44,0.4,0.47100000000000003,4.6,13.6,0.33,0.1,-,0.9420000000000001,8.71,9.05,8.82,4.46,0.04,0.426,3.17
