,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
1539,2018,신진호,NC,포수,20,8,73.0,2,0,56,2,0,0.9670000000000001,2,7,0,0.0,0.182,25,22,1,4,0,0,0,4,1,0,0
1552,2018,이재원,SK,포수,119,109,846.6666666666665,11,2,774,48,6,0.987,5,72,18,20.0,0.32899999999999996,471,407,63,134,24,0,17,209,57,4,5
1557,2018,이성우,SK,포수,88,31,360.66666666666674,0,0,315,18,6,1.0,1,19,9,32.1,0.242,134,120,10,29,5,0,0,34,5,4,1
1581,2018,허도환,SK,포수,23,4,67.33333333333333,0,0,66,4,2,1.0,0,4,1,20.0,0.273,24,22,4,6,0,0,1,9,1,0,0
1590,2019,박세혁,두산,포수,135,128,1071.6666666666667,8,0,786,55,5,0.991,4,85,23,21.3,0.27899999999999997,505,441,58,123,19,9,4,172,63,10,6
1606,2019,장승현,두산,포수,34,8,119.0,0,0,69,7,1,1.0,1,5,3,37.5,0.171,46,41,3,7,2,0,0,9,3,0,1
1610,2019,이흥련,두산,포수,23,8,91.0,0,0,47,4,0,1.0,0,6,3,33.3,0.31,44,42,3,13,2,1,0,17,5,0,0
1636,2019,나종덕,롯데,포수,103,66,556.6666666666666,5,1,474,42,7,0.99,1,40,24,37.5,0.124,209,185,12,23,4,0,3,36,13,7,2
1638,2019,안중열,롯데,포수,73,42,381.66666666666674,5,1,286,31,2,0.9840000000000001,7,26,8,23.5,0.191,145,136,10,26,6,1,2,40,4,1,0
1650,2019,김준태,롯데,포수,42,26,236.0,2,1,216,14,0,0.991,3,20,2,9.1,0.159,104,88,10,14,3,0,0,17,8,2,0
1664,2019,정보근,롯데,포수,15,10,89.66666666666669,0,0,72,7,1,1.0,0,5,4,44.4,0.125,35,32,3,4,0,0,0,4,1,0,0
1674,2019,강민호,삼성,포수,109,104,842.0,8,1,660,48,7,0.9890000000000001,3,63,23,26.7,0.23399999999999999,393,346,36,81,20,0,13,140,45,2,3
1680,2019,김도환,삼성,포수,61,30,299.6666666666667,1,0,202,16,2,0.995,2,21,4,16.0,0.204,106,93,7,19,6,0,2,31,7,4,1
1683,2019,김민수,삼성,포수,29,8,104.33333333333331,0,0,67,7,1,1.0,3,6,2,25.0,0.205,41,39,5,8,1,0,0,9,2,0,1
1701,2019,김응민,삼성,포수,8,2,29.33333333333333,0,0,24,1,0,1.0,1,0,0,0.0,0.231,13,13,0,3,1,0,0,4,0,0,0
1716,2019,박동원,키움,포수,89,64,608.0,1,2,487,40,4,0.998,3,47,18,27.7,0.297,361,317,50,94,15,1,10,141,55,7,1
1717,2019,이지영,키움,포수,83,74,605.0,3,2,468,39,8,0.9940000000000001,3,40,12,23.1,0.282,331,308,40,87,5,1,1,97,39,6,1
1738,2019,주효상,키움,포수,17,6,66.0,1,0,53,6,0,0.983,0,5,1,16.7,0.207,30,29,3,6,2,1,0,10,5,0,0
1750,2019,최재훈,한화,포수,132,126,1022.6666666666665,6,3,788,76,17,0.993,8,84,31,27.0,0.29,451,373,47,108,18,0,3,135,31,4,4
